Ain;Bourg-en-Bresse
Aisne;Laon
Allier;Moulin
Alpes de Haute Provence;Digne
Hautes Alpes;Gap
Alpes Maritimes;Nice
Ardèche;Privas
Ardennes;Charleville-Mézières
Ariège;Foix
Aube;Troyes
Aude;Carcassonne
Aveyron;Rodez
Bouches du Rhône;Marseilles
Calvados;Caen
Cantal;Aurillac
Charente;Angoulême
Charente-Maritime;LaRochelle
Cher;Bourges
Corrèze;Tulle
Corse;Ajaccio
Côte-d'Or;Dijon
Côtes-d'Armor;Saint-Brieux
Creuse;Guéret
Dordogne;Périgueux
Doubs;Besançon
Drôme;Valence
Eure;Evreux
Eure-et-Loire;Chartres
Finistère;Brest
Gard;Nîmes
Haute Garonne;Toulouse
Gers;Auch
Gironde;Bordeaux
Hérault;Montpellier
Ile-et-Vilaine;Rennes
Indre;Châteauroux
Indre-et-Loire;Tours
Isère;Grenoble
Jura;Lons-le-Saunier
Landes;Dax
Loire-et-Cher;Blois
Loire;Saint-Etienne
Haute-Loire;LePuy-en-Velay
Loire-Altlantique;Nantes
Loiret;Orléans
Lot;Cahors
Lot-et-Garonne;Agen
Lozère;Mende
Maine-et-loire;Angers
Manche;Cherbourg
Marne;Reims
Haute-Marne;Chaumont
Mayenne;Laval
Meurthe-et-Moselle;Nancy
Meuse;Bar-le-Duc
Morbihan;Lorient
Moselle;Metz
Nièvre;Nevers
Nord;Lille
Oise;Beauvais
Orne;Alençon
Pas-de-Calais;Calais
Puy-de-Dôme;Clermont-Ferrand
Pyrénées-Atlantiques;Pau
Hautes-Pyrénées;Tarbes
Pyrénées-Orientales;Perpignan
Bas-Rhin;Strasbourg
Haut-Rhin;Colmar
Rhone;Lyon
Haute-Saone;Vesoul
Saone-et-Loire;Mâcon
Sarthe;LeMans
Savoie;Chambéry
Haute-Savoie;Annecy
Paris;Paris
Seine-Maritime;Rouen
Seine-et-Marne;Melun
Yvelines;Versailles
Deux Sèvres;Niort
Somme;Amiens
Tarn;Castres
Tarn-et-Garonne;Montauban
Var;Toulon
Vaucluse;Avignon
Vendée;LaRoche-sur-Yon
Vienne;Poitiers
Haute-Vienne;Limoges
Vosges;Epinal
Yonne;Auxerre
Territoire de Belfort;Belfort
Essonne;Evry
Hauts-de-Seine;Nanterre
Seine-Saint-Denis;Bobigny
Val-de-Marne;Créteil
Val d'Oise;Cergy



Etranger;e
